"rowNo","type","stim1","stimFormat","ITI","key","keyboard","random","head","body","responseType","responseOptions","pageBreak","fixation","subjectGroup","cursor","required","identity condition","Time","time_block","ITI_ms","ITI_f","ITI_fDuration","timestamp","response","RT","correct","responseCode","browser","version","screenWidth","screenHeight","OS","OS_lang","GMT_timestamp","local_timestamp","trial_file_version","link","calibration","id","age","gender","ethnicity","duration_s"
"60","test","C2_037_DV_030_00",".jpg","800","l","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Mismatch","present","1","801","48","16.69","558517","l","1429","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"45","test","C2_070_DV_128_00",".jpg","800","l","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Mismatch","present","1","801","48","16.69","561036","l","1730","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"28","test","DV_200_C2_200_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","565133","s","3307","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"27","test","C2_105_DV_105_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","569692","s","3762","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"20","test","C2_146_DV_146_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","573917","l","3433","0",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"22","test","C2_181_Dv_181_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","577789","s","3084","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"25","test","DV_190_C2_190_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","583125","s","4549","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"34","test","DV_059_C2_055_00",".jpg","800","l","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Mismatch","present","1","801","48","16.68","585317","l","1403","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"31","test","DV_166_C2_166_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.69","588941","s","2823","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"11","test","C2_294_DV_294_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.69","591669","s","1932","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
