subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,ethnicity,duration_s
"1",Chrome,121.0.0.0,1920,1080,Windows,en-GB,2024-02-09_12:08:48,2024-02-09_12:08:48,2023-12-13_11:01:32,https://www.testable.org/experiment/14865/146518/start,0.65,LB66,"18",woman,White,584.169

rowNo,type,stim1,stimFormat,ITI,key,keyboard,random,head,body,responseType,responseOptions,pageBreak,fixation,subjectGroup,cursor,required,identity condition,Time,time_block,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"49",test,C2_288_DV_255_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",371071,l,1638,"1",""
"39",test,C2_179_DV_021_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",374343,l,2475,"1",""
"25",test,DV_190_C2_190_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",376119,s,980,"1",""
"12",test,C2_291_DV_291_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",378751,s,1844,"1",""
"52",test,C2_174_DV_183_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",380711,l,1168,"1",""
"50",test,C2_095_DV_229_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",382942,l,1430,"1",""
"46",test,DV_130_C2_253_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",385527,l,1797,"1",""
"30",test,C2_071_DV_071_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",387750,s,1433,"1",""
"44",test,C2_092_DV_227_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",389701,s,1166,"0",""
"20",test,C2_146_DV_146_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",391343,s,856,"1",""
