subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,ethnicity,duration_s
"1",Chrome,121.0.0.0,1920,1080,Windows,en-GB,2024-02-06_10:23:52,2024-02-06_10:23:52,2023-12-13_11:01:32,https://www.testable.org/experiment/14865/146518/start,0.65,LH59,"22",woman,White,1037

rowNo,type,stim1,stimFormat,ITI,key,keyboard,random,head,body,responseType,responseOptions,pageBreak,fixation,subjectGroup,cursor,required,identity condition,Time,time_block,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"48",test,C2_023_DV_304_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",794588,l,1397,"1",""
"45",test,C2_070_DV_128_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",796580,l,1203,"1",""
"29",test,DV_008_C2_008_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",799116,s,1738,"1",""
"11",test,C2_294_DV_294_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",800940,l,1026,"0",""
"46",test,DV_130_C2_253_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",803092,l,1359,"1",""
"33",test,C2_290_DV_290_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",805820,l,1936,"1",""
"44",test,C2_092_DV_227_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",808740,l,2119,"1",""
"27",test,C2_105_DV_105_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",811244,s,1703,"1",""
"23",test,DV_062_C2_062_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",814084,l,2041,"0",""
"7",test,C2_053_DV_053_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",816788,s,1909,"1",""
