subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,ethnicity,duration_s
"1",Chrome,120.0.0.0,1920,1080,Windows,en-GB,2024-01-22_14:08:04,2024-01-22_14:08:04,2023-12-13_11:01:32,https://www.testable.org/experiment/14865/146518/start,0.57,AS22,"31",woman,White,730.509

rowNo,type,stim1,stimFormat,ITI,key,keyboard,random,head,body,responseType,responseOptions,pageBreak,fixation,subjectGroup,cursor,required,identity condition,Time,time_block,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"39",test,C2_179_DV_021_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",366389,l,1770,"1",""
"6",test,C2_036_DV_036_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",369470,s,2280,"1",""
"46",test,DV_130_C2_253_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",372469,l,2210,"1",""
"45",test,C2_070_DV_128_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",375309,l,2048,"1",""
"62",test,C2_077_DV_133_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",377717,l,1619,"1",""
"36",test,C2_012_DV_245_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",380628,l,2111,"1",""
"52",test,C2_174_DV_183_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",382789,l,1370,"1",""
"33",test,C2_290_DV_290_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",387390,s,3802,"0",""
"18",test,C2_040_DV_040_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",394644,s,6469,"1",""
"24",test,C2_131_DV_131_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",397774,s,2340,"1",""
"17",test,DV_004_C2_004_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",400830,s,2259,"1",""
"4",test,DV_002_C2_002_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",404748,s,3125,"1",""
"30",test,C2_071_DV_071_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",408174,s,2630,"1",""
"14",test,C2_142_DV_142_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",410901,s,1937,"1",""
"10",test,DV_118_C2_118_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",414550,s,2850,"1",""
"42",test,DV_020_C2_090_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",418118,l,2781,"1",""
"40",test,DV_203_C2_277_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",420502,l,1595,"1",""
"60",test,C2_037_DV_030_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",423390,l,2097,"1",""
"15",test,C2_112_DV_112_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",427837,s,3658,"1",""
"53",test,DV_129_C2_199_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",429582,l,949,"1",""
"29",test,DV_008_C2_008_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",434060,s,3691,"1",""
"47",test,DV_067_C2_057_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",438877,l,4020,"1",""
"16",test,DV_064_C2_064_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",445558,s,5880,"1",""
"31",test,DV_166_C2_166_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",449622,s,3270,"1",""
"32",test,C2_140_DV_140_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",455525,l,5102,"0",""
"64",form,"","","","","","",How stressed did you feel during the previous task?,"-10 being completely relaxed, 0 being neither relaxed nor stressed, and +10 being extremely stressed",slider,-10_10_1,"1","","1","","1","",present,"",801,"","",478605,-10,22561,"0",-10
"123",test,C2_205_DV_048_00,.jpg,"800",l,s l,"2","","","","","",ITI,"1",hide,"",Mismatch,absent,"2",801,48,"16.68",501214,l,3579,"1",""
"99",test,C2_031_DV_083_00,.jpg,"800",l,s l,"2","","","","","",ITI,"1",hide,"",Mismatch,absent,"2",801,48,"16.68",504310,l,2302,"1",""
"107",test,C2_171_DV_185_00,.jpg,"800",l,s l,"2","","","","","",ITI,"1",hide,"",Mismatch,absent,"2",801,48,"16.68",507358,l,2248,"1",""
"67",test,DV_015_C2_015_00,.jpg,"800",s,s l,"2","","","","","",ITI,"1",hide,"",Match,absent,"2",801,48,"16.68",510590,s,2444,"1",""
"96",test,C2_075_DV_074_00,.jpg,"800",l,s l,"2","","","","","",ITI,"1",hide,"",Mismatch,absent,"2",801,48,"16.68",512526,l,1143,"1",""
"78",test,C2_155_DV_155_00,.jpg,"800",s,s l,"2","","","","","",ITI,"1",hide,"",Match,absent,"2",801,48,"16.68",516933,s,3615,"1",""
"66",test,C2_113_DV_113_00,.jpg,"800",s,s l,"2","","","","","",ITI,"1",hide,"",Match,absent,"2",801,48,"16.68",522566,s,4843,"1",""
"84",test,DV_127_C2_127_00,.jpg,"800",s,s l,"2","","","","","",ITI,"1",hide,"",Match,absent,"2",801,48,"16.68",524981,s,1619,"1",""
"88",test,C2_153_DV_153_00,.jpg,"800",s,s l,"2","","","","","",ITI,"1",hide,"",Match,absent,"2",801,48,"16.68",531037,s,5257,"1",""
"82",test,DV_041_C2_041_00,.jpg,"800",s,s l,"2","","","","","",ITI,"1",hide,"",Match,absent,"2",801,48,"16.68",535981,s,4144,"1",""
"125",test,C2_242_DV_254_00,.jpg,"800",l,s l,"2","","","","","",ITI,"1",hide,"",Mismatch,absent,"2",801,48,"16.68",538540,l,1765,"1",""
"124",test,C2_265_DV_287_00,.jpg,"800",l,s l,"2","","","","","",ITI,"1",hide,"",Mismatch,absent,"2",801,48,"16.68",540726,l,1398,"1",""
"98",test,C2_003_DV_018_00,.jpg,"800",l,s l,"2","","","","","",ITI,"1",hide,"",Mismatch,absent,"2",801,48,"16.68",544501,l,2988,"1",""
"115",test,DV_215_C2_050_00,.jpg,"800",l,s l,"2","","","","","",ITI,"1",hide,"",Mismatch,absent,"2",801,48,"16.68",547166,l,1866,"1",""
