subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,ethnicity,duration_s
"1",Chrome,121.0.0.0,1920,1080,Windows,en-GB,2024-02-09_13:29:14,2024-02-09_13:29:14,2023-12-13_11:01:32,https://www.testable.org/experiment/14865/146518/start,0.72,HR68,"19",woman,White,695.604

rowNo,type,stim1,stimFormat,ITI,key,keyboard,random,head,body,responseType,responseOptions,pageBreak,fixation,subjectGroup,cursor,required,identity condition,Time,time_block,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"63",test,DV_013_C2_235_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",311354,l,3780,"1",""
"47",test,DV_067_C2_057_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",316522,l,4376,"1",""
"53",test,DV_129_C2_199_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",323776,l,6458,"1",""
"31",test,DV_166_C2_166_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",332808,s,8233,"1",""
"42",test,DV_020_C2_090_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",336306,l,2706,"1",""
"20",test,C2_146_DV_146_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",343280,s,6176,"1",""
"19",test,C2_258_DV_258_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",347218,s,3140,"1",""
"54",test,C2_076_DV_079_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",351025,l,3009,"1",""
"33",test,C2_290_DV_290_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",354146,s,2327,"0",""
"49",test,C2_288_DV_255_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",356594,l,1655,"1",""
"32",test,C2_140_DV_140_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",359618,l,2226,"0",""
"11",test,C2_294_DV_294_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",364489,s,4078,"1",""
"62",test,C2_077_DV_133_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",372242,s,6960,"0",""
"59",test,DV_078_C2_125_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",375626,l,2585,"1",""
"43",test,C2_222_DV_204_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",378802,s,2392,"0",""
"30",test,C2_071_DV_071_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",382266,s,2670,"1",""
"44",test,C2_092_DV_227_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",390649,s,7582,"0",""
"56",test,C2_289_DV_039_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",393176,l,1735,"1",""
"35",test,C2_038_DV_081_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",400170,l,6209,"1",""
"57",test,C2_051_DV_238_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",404498,l,3531,"1",""
"55",test,DV_299_C2_111_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",411930,l,6640,"1",""
"18",test,C2_040_DV_040_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",416705,s,3976,"1",""
"9",test,C2_182_DV_182_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",422777,s,5275,"1",""
"46",test,DV_130_C2_253_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",425674,l,2099,"1",""
"4",test,DV_002_C2_002_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",431968,s,5508,"1",""
